电影详情链接,图片链接,影片中文名,影片外国名,评分,评价数,概况,相关信息
https://movie.douban.com/subject/30170448/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,何以为家,  كفرناحوم,9.1,1072946,凝视卑弱生命，用电影改变命运,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea  ...2018  黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国  剧情
https://movie.douban.com/subject/26387939/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,摔跤吧！爸爸,  Dangal,9.0,1607103,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan  法缇玛...2016  印度  剧情 传记 运动 家庭
https://movie.douban.com/subject/1305487/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,猫鼠游戏,  Catch Me If You Can,9.1,1066239,骗子大师和执著警探的你追我跑故事 ,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...2002  美国 加拿大  传记 犯罪 剧情
https://movie.douban.com/subject/1291583/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892380420.jpg,天空之城,  天空の城ラピュタ,9.2,904938,对天空的追逐，永不停止 ,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka  横泽启子 Ke...1986  日本  动画 奇幻 冒险
https://movie.douban.com/subject/1291858/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,鬼子来了, ,9.3,645414,对敌人的仁慈，就是对自己残忍,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang  香川照之 Teruyuki Kagawa ...2000  中国大陆  剧情 喜剧
https://movie.douban.com/subject/25958717/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,海蒂和爷爷,  Heidi,9.3,650320,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen ...2015  德国 瑞士  剧情 冒险 家庭
https://movie.douban.com/subject/1929463/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,少年派的奇幻漂流,  Life of Pi,9.1,1380945,瑰丽壮观、无人能及的冒险之旅,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma  伊尔凡·可汗 Irrfan...2012  美国 中国台湾 英国 加拿大  剧情 奇幻 冒险
https://movie.douban.com/subject/1296736/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg,钢琴家,  The Pianist,9.3,664811,音乐能化解仇恨,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...2002  英国 法国 波兰 德国  剧情 传记 战争 音乐
https://movie.douban.com/subject/1299398/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,大话西游之月光宝盒,  西遊記第壹佰零壹回之月光寶盒,9.0,1251707,旷古烁今,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow  吴孟达 Man Tat Ng...1995  中国香港 中国大陆  喜剧 爱情 奇幻 古装
https://movie.douban.com/subject/1291572/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,指环王2：双塔奇兵,  The Lord of the Rings: The Two Towers,9.2,776251,承前启后的史诗篇章,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood  西恩...2002  美国 新西兰  剧情 动作 奇幻 冒险
